Ranking   Team            Wins  Draws  Losses  GF    GA    Points  GD
--------------------------------------------------------------------
1         Yokohama FC         7     8    18    30    56      29   -26
2         Kashiwa Reysol      6    14    13    32    46      32   -14
3         Gamba Osaka         9     7    17    38    60      34   -22
4         Shonan Bellmare     8    10    15    40    55      34   -15
5         Kyoto Sanga FC     11     4    18    37    44      37    -7
6         Sagan Tosu          9    11    13    43    46      38    -3
7         FC Tokyo           11     7    15    41    46      40    -5
8         Consadole Sapporo    10    10    13    56    59      40    -3
9         Albirex Niigata    10    12    11    35    40      42    -5
10        Kawasaki Frontale    13     8    12    50    45      47     5
11        Cerezo Osaka       15     4    14    39    33      49     6
12        Kashima Antlers    13    10    10    41    33      49     8
13        Avispa Fukuoka     15     6    12    37    42      51    -5
14        Nagoya Grampus     14     9    10    40    35      51     5
15        Urawa Red Diamonds    14    12     7    40    27      54    13
16        Sanfrecce Hiroshima    16     7    10    41    28      55    13
17        Yokohama F. Marinos    19     7     7    62    37      64    25
18        Vissel Kobe        20     8     5    59    29      68    30
