gcc -g -Wall -o poly_sin3 poly_sin3.c -lm
./poly_sin3
x: -6.283180, sin_approx_3rd: 35.058417
x: -6.183180, sin_approx_3rd: 33.215749
x: -6.083180, sin_approx_3rd: 31.434913
x: -5.983180, sin_approx_3rd: 29.714908
x: -5.883180, sin_approx_3rd: 28.054735
x: -5.783180, sin_approx_3rd: 26.453394
x: -5.683180, sin_approx_3rd: 24.909885
x: -5.583180, sin_approx_3rd: 23.423207
x: -5.483180, sin_approx_3rd: 21.992361
x: -5.383180, sin_approx_3rd: 20.616347
x: -5.283180, sin_approx_3rd: 19.294165
x: -5.183180, sin_approx_3rd: 18.024815
x: -5.083180, sin_approx_3rd: 16.807297
x: -4.983180, sin_approx_3rd: 15.640610
x: -4.883180, sin_approx_3rd: 14.523755
x: -4.783180, sin_approx_3rd: 13.455732
x: -4.683180, sin_approx_3rd: 12.435540
x: -4.583180, sin_approx_3rd: 11.462181
x: -4.483180, sin_approx_3rd: 10.534653
x: -4.383180, sin_approx_3rd: 9.651957
x: -4.283180, sin_approx_3rd: 8.813093
x: -4.183180, sin_approx_3rd: 8.017061
x: -4.083180, sin_approx_3rd: 7.262860
x: -3.983180, sin_approx_3rd: 6.549492
x: -3.883180, sin_approx_3rd: 5.875955
x: -3.783180, sin_approx_3rd: 5.241250
x: -3.683180, sin_approx_3rd: 4.644376
x: -3.583180, sin_approx_3rd: 4.084335
x: -3.483180, sin_approx_3rd: 3.560125
x: -3.383180, sin_approx_3rd: 3.070747
x: -3.283180, sin_approx_3rd: 2.615201
x: -3.183180, sin_approx_3rd: 2.192487
x: -3.083180, sin_approx_3rd: 1.801604
x: -2.983180, sin_approx_3rd: 1.441554
x: -2.883180, sin_approx_3rd: 1.111335
x: -2.783180, sin_approx_3rd: 0.809948
x: -2.683180, sin_approx_3rd: 0.536392
x: -2.583180, sin_approx_3rd: 0.289669
x: -2.483180, sin_approx_3rd: 0.068777
x: -2.383180, sin_approx_3rd: -0.127283
x: -2.283180, sin_approx_3rd: -0.299511
x: -2.183180, sin_approx_3rd: -0.448907
x: -2.083180, sin_approx_3rd: -0.576472
x: -1.983180, sin_approx_3rd: -0.683205
