gcc -g -Wall -o poly_sin5 poly_sin5.c -lm
./poly_sin5
x: -6.283180, sin_approx_5th: -46.546487
x: -6.183180, sin_approx_5th: -42.098682
x: -6.083180, sin_approx_5th: -37.983086
x: -5.983180, sin_approx_5th: -34.181890
x: -5.883180, sin_approx_5th: -30.677893
x: -5.783180, sin_approx_5th: -27.454492
x: -5.683180, sin_approx_5th: -24.495674
x: -5.583180, sin_approx_5th: -21.786001
x: -5.483180, sin_approx_5th: -19.310607
x: -5.383180, sin_approx_5th: -17.055183
x: -5.283180, sin_approx_5th: -15.005967
x: -5.183180, sin_approx_5th: -13.149736
x: -5.083180, sin_approx_5th: -11.473797
x: -4.983180, sin_approx_5th: -9.965973
x: -4.883180, sin_approx_5th: -8.614597
x: -4.783180, sin_approx_5th: -7.408499
x: -4.683180, sin_approx_5th: -6.336998
x: -4.583180, sin_approx_5th: -5.389892
x: -4.483180, sin_approx_5th: -4.557445
x: -4.383180, sin_approx_5th: -3.830383
x: -4.283180, sin_approx_5th: -3.199877
x: -4.183180, sin_approx_5th: -2.657537
x: -4.083180, sin_approx_5th: -2.195402
x: -3.983180, sin_approx_5th: -1.805931
x: -3.883180, sin_approx_5th: -1.481987
x: -3.783180, sin_approx_5th: -1.216836
x: -3.683180, sin_approx_5th: -1.004128
x: -3.583180, sin_approx_5th: -0.837895
x: -3.483180, sin_approx_5th: -0.712535
x: -3.383180, sin_approx_5th: -0.622805
x: -3.283180, sin_approx_5th: -0.563811
x: -3.183180, sin_approx_5th: -0.530997
x: -3.083180, sin_approx_5th: -0.520133
x: -2.983180, sin_approx_5th: -0.527312
x: -2.883180, sin_approx_5th: -0.548931
x: -2.783180, sin_approx_5th: -0.581687
x: -2.683180, sin_approx_5th: -0.622566
x: -2.583180, sin_approx_5th: -0.668831
x: -2.483180, sin_approx_5th: -0.718015
x: -2.383180, sin_approx_5th: -0.767907
x: -2.283180, sin_approx_5th: -0.816545
x: -2.183180, sin_approx_5th: -0.862208
x: -2.083180, sin_approx_5th: -0.903400
x: -1.983180, sin_approx_5th: -0.938845
x: -1.883180, sin_approx_5th: -0.967474
x: -1.783180, sin_approx_5th: -0.988418
x: -1.683180, sin_approx_5th: -1.000995
x: -1.583180, sin_approx_5th: -1.004701
x: -1.483180, sin_approx_5th: -0.999203
x: -1.383180, sin_approx_5th: -0.984323
x: -1.283180, sin_approx_5th: -0.960034
x: -1.183180, sin_approx_5th: -0.926444
x: -1.083180, sin_approx_5th: -0.883794
x: -0.983180, sin_approx_5th: -0.832438
x: -0.883180, sin_approx_5th: -0.772843
x: -0.783180, sin_approx_5th: -0.705572
x: -0.683180, sin_approx_5th: -0.631276
x: -0.583180, sin_approx_5th: -0.550686
x: -0.483180, sin_approx_5th: -0.464599
x: -0.383180, sin_approx_5th: -0.373872
x: -0.283180, sin_approx_5th: -0.279410
x: -0.183180, sin_approx_5th: -0.182157
x: -0.083180, sin_approx_5th: -0.083084
x: 0.016820, sin_approx_5th: 0.016819
x: 0.116820, sin_approx_5th: 0.116554
x: 0.216820, sin_approx_5th: 0.215125
x: 0.316820, sin_approx_5th: 0.311546
x: 0.416820, sin_approx_5th: 0.404855
